,Name,url,Sector,Industry,Employees,Description,Executive1,Executive2,Executive3,Executive4,Executive5
GERN,Geron Corporation,http://www.geron.com,N/A,N/A,N/A,"Geron Corporation operates as a biopharmaceutical company. The company supports the clinical stage development of a telomerase inhibitor, imetelstat, for treating hematologic myeloid malignancies. It has collaboration and license agreement with Janssen Biotech, Inc. to develop and commercialize imetelstat worldwide for indications in oncology, including hematologic myeloid malignancies and other human therapeutic uses. The company was founded in 1990 and is based in Menlo Park, California.","{'name': 'Dr. John A. Scarlett M.D.', 'title': 'Chief Exec. Officer, Pres and Director', 'pay': '1.07M', 'exercised': 'N/A', 'age': '66'}","{'name': 'Ms. Olivia Kyusuk Bloom', 'title': 'Chief Financial Officer, Exec. VP of Fin. and Treasurer', 'pay': '595.25k', 'exercised': 'N/A', 'age': '48'}","{'name': 'Dr. Andrew J. Grethlein Ph.D.', 'title': 'Exec. VP of Devel. and Technical Operations', 'pay': '627.25k', 'exercised': 'N/A', 'age': '53'}","{'name': 'Mr. Stephen N. Rosenfield J.D.', 'title': 'Exec. VP, Gen. Counsel and Corp. Sec.', 'pay': '498.3k', 'exercised': 'N/A', 'age': '67'}","{'name': 'Mrs. Melissa A. Kelly Behrs', 'title': 'Exec. VP of Bus. Devel. and Portfolio & Alliance Management', 'pay': '587.48k', 'exercised': 'N/A', 'age': '53'}"
GHDX,"Genomic Health, Inc.",http://www.genomichealth.com,Healthcare,Medical Laboratories & Research,846,"Genomic Health, Inc., a healthcare company, provides actionable genomic information to personalize cancer treatment decisions in the United States and internationally. It develops and commercializes genomic-based clinical laboratory services that analyze the underlying biology of cancer, allowing physicians and patients to make individualized treatment decisions. The company offers the Oncotype DX invasive breast cancer test that is used for early stage invasive breast cancer patients to predict the likelihood of breast cancer recurrence and chemotherapy benefit. It also provides the Oncotype DX colon cancer test, which is used to predict the likelihood of colon cancer recurrence in patients with stage II disease, as well as for use in patients with stage III disease treated with oxaliplatin-containing adjuvant therapy. In addition, the company provides the Oncotype DX tests for patients with ductal carcinoma in situ, a pre-invasive form of breast cancer; the Oncotype DX prostate cancer test, which provides a genomic prostate score to predict disease aggressiveness in men with low risk disease, as well as used to enhance treatment decisions for prostate cancer patients in conjunction with the Gleason score or tumor grading; and Oncotype SEQ Liquid Select test, a non-invasive liquid biopsy test, which uses next-generation sequencing to identify and select actionable genomic alterations to quantify the presence and burden of cancer, as well as helps to predict the sensitivity or resistance to specific drugs for patients with certain late-stage cancers, such as lung, breast, colon, melanoma, ovarian, or gastrointestinal cancers. Its development stage pipeline products include Oncotype TRACK products for non-invasive tumor monitoring. The company offers its products through a network of distributors. Genomic Health, Inc. has collaboration agreements with Epic Sciences, Inc. and BiocartisGroup NV. The company was founded in 2000 and is based in Redwood City, California.","{'name': 'Ms. Kimberly J. Popovits', 'title': 'Chairman, CEO & Pres', 'pay': '1.33M', 'exercised': '143.84k', 'age': '58'}","{'name': 'Dr. Steven  Shak M.D.', 'title': 'Co-Founder & Chief Scientific Officer', 'pay': '769.18k', 'exercised': '341.4k', 'age': '66'}","{'name': 'Mr. G. Bradley Cole', 'title': 'COO, CFO & Sec.', 'pay': '817.44k', 'exercised': '401.12k', 'age': '61'}","{'name': 'Mr. James J. Vaughn R.Ph.', 'title': 'Chief Commercial Officer', 'pay': '628.8k', 'exercised': '63.8k', 'age': '54'}","{'name': 'Dr. Frederic G. Pla Ph.D.', 'title': 'Chief Bus. & Product Devel. Officer', 'pay': '786k', 'exercised': 'N/A', 'age': '58'}"
GILD,"Gilead Sciences, Inc.",http://www.gilead.com,Healthcare,Biotechnology,"9,000","Gilead Sciences, Inc. discovers, develops, and commercializes medicines in the areas of unmet medical needs in Europe, North America, Asia, South America, Africa, Australia, India, and the Middle East. The companys products include Descovy, Odefsey, Genvoya, Stribild, Complera/Eviplera, Atripla, Truvada, Viread, Emtriva, Tybost, and Vitekta for the treatment of human immunodeficiency virus (HIV) infection in adults; and Vemlidy, Epclusa, Harvoni, Sovaldi, Viread, and Hepsera products for treating liver diseases. It also offers Zydelig, a PI3K delta inhibitor, in combination with rituximab, for the treatment of certain blood cancers; Letairis, an endothelin receptor antagonist for the treatment of pulmonary arterial hypertension; Ranexa, a tablet used for the treatment of chronic angina; Lexiscan/Rapiscan injection for use as a pharmacologic stress agent in radionuclide myocardial perfusion imaging; Cayston, an inhaled antibiotic for the treatment of respiratory systems in cystic fibrosis patients; and Tamiflu, an oral antiviral capsule for the treatment and prevention of influenza A and B. In addition, the company provides other products, such as AmBisome, an antifungal agent to treat serious invasive fungal infections; and Macugen, an anti-angiogenic oligonucleotide to treat neovascular age-related macular degeneration. Further, it has product candidates in various stages of development for the treatment of HIV/AIDS and liver diseases, such as hepatitis C virus and hepatitis B virus; hematology/oncology; cardiovascular; and inflammation/respiratory diseases. The company markets its products through its commercial teams and/or in conjunction with third-party distributors and corporate partners. Gilead Sciences, Inc. has collaboration agreements with Bristol-Myers Squibb Company, Janssen R&D Ireland, Japan Tobacco Inc., Galapagos NV., and Spring Bank Pharmaceuticals, Inc. The company was founded in 1987 and is headquartered in Foster City, California.","{'name': 'Dr. John C. Martin', 'title': 'Exec. Chairman', 'pay': '3.76M', 'exercised': '80.81M', 'age': '65'}","{'name': 'Dr. John F. Milligan Ph.D.', 'title': 'Pres, CEO & Director', 'pay': '4.09M', 'exercised': '48.39M', 'age': '56'}","{'name': 'Ms. Robin L. Washington', 'title': 'Chief Financial Officer and Exec. VP', 'pay': '1.85M', 'exercised': 'N/A', 'age': '54'}","{'name': 'Mr. Kevin B. Young CBE', 'title': 'Chief Operating Officer', 'pay': '1.82M', 'exercised': '1.12M', 'age': '59'}","{'name': 'Dr. Norbert W. Bischofberger Ph.D.', 'title': 'Exec. VP of R&D and Chief Scientific Officer', 'pay': '2.23M', 'exercised': 'N/A', 'age': '61'}"
GLPG,Galapagos NV,http://www.glpg.com,,,578,"Galapagos NV, a clinical-stage biotechnology company, develops and commercializes novel medicines in Belgium, Croatia, France, and the Netherlands. The companys clinical stage programs include filgotinib, which is in Phase III clinical trial for the treatment of rheumatoid arthritis, Crohns disease, and ulcerative colitis; GLPG1690, which is in Phase IIa clinical trial for the treatment of idiopathic pulmonary fibrosis; GLPG1972, which is in Phase 1 clinical trial for the treatment of osteoarthritis; and MOR106 that is in atopic dermatitis (AtD) patients in Phase Ib trial. The company has collaboration agreement with Gilead Sciences, Inc. for the development of filgotinib for inflammatory indications; Servier to develop GLPG1972; and AbbVie for discovery, development, and commercialization of potentiator and corrector molecules for the treatment of cystic fibrosis, as well as with MorphoSys for MOR106. It also has a research and development agreement with Pharnext SA to develop a pipeline of synergistic drug combinations for various indications. Galapagos NV was founded in 1999 and is headquartered in Mechelen, Belgium.","{'name': 'Mr. Onno  van de Stolpe', 'title': 'Co-Founder, Chief Exec. Officer, Managing Director and Exec. Director', 'pay': '942.21k', 'exercised': 'N/A', 'age': '57'}","{'name': 'Mr. Bart  Filius MBA', 'title': 'COO & CFO', 'pay': 'N/A', 'exercised': 'N/A', 'age': '46'}","{'name': 'Dr. Piet  Wigerinck Ph.D.', 'title': 'Chief Scientific Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '52'}","{'name': 'Ms. Elizabeth  Goodwin', 'title': 'VP of Investor Relations & Corp. Communications', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}","{'name': 'Ms. Veronique  Deiteren', 'title': 'Head of HR', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}"
GLYC,"GlycoMimetics, Inc.",http://www.glycomimetics.com,Healthcare,Biotechnology,42,"GlycoMimetics, Inc., a clinical stage biotechnology company, focuses on the discovery and development of glycomimetic drugs to address unmet medical needs resulting from diseases in the United States. The company is developing its lead product candidates include rivipansel, a pan-selectin antagonist, which is in Phase III clinical trials for the treatment of vaso-occlusive crisis, a debilitating and painful condition that occurs periodically throughout the life of a person with sickle cell disease; and GMI-1271, an E-selectin antagonist to treat acute myeloid leukemia and other hematologic cancers. It is also developing GMI-1359, a drug candidate targeting E-selectin and CXCR4; and galectin-3 and galectin-9 inhibitors. The company has a collaborative research and development agreement with Pfizer Inc. GlycoMimetics, Inc. was founded in 2003 and is headquartered in Rockville, Maryland.","{'name': 'Mrs. Rachel K. King', 'title': 'CEO & Director', 'pay': '772.42k', 'exercised': 'N/A', 'age': '58'}","{'name': 'Mr. Brian M. Hahn', 'title': 'CFO & Sec.', 'pay': '458.38k', 'exercised': 'N/A', 'age': '43'}","{'name': 'Dr. John L. Magnani Ph.D.', 'title': 'Sr. VP of Research, Chief Scientific Officer & Director', 'pay': '529.58k', 'exercised': 'N/A', 'age': '64'}","{'name': 'Dr. Helen M. Thackray M.D., FAAP', 'title': 'Sr. VP of Clinical Devel. & Chief Medical Officer', 'pay': '577.27k', 'exercised': 'N/A', 'age': '49'}","{'name': 'Mr. Henry  Flanner', 'title': 'VP of Technical Operations', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}"
GRFS,"Grifols, S.A.",http://www.grifols.com,N/A,N/A,N/A,"Grifols, S.A., a specialty pharmaceutical company, develops, manufactures, and distributes biological medicines on plasma derived proteins in the United States, Canada, Spain, rest of the European Union, and internationally. The company specializes in providing infusion solutions, nutrition products, and medical devices for use in hospitals and clinics. It operates through four segments: Bioscience, Diagnostic, Hospital, and Raw Materials and Others. The Bioscience segment manufactures plasma derivatives for therapeutic use, including the reception, analysis, quarantine, classification, fractionation, and purification of plasma; and sells and distributes end products. This segment offers plasma products, such as IVIG, Factor VIII, A1PI, and albumin; and intramuscular immunoglobulins, ATIII, Factor IX, and plasma thromboplastin components. The Diagnostic segment focuses on researching, developing, manufacturing, and marketing in vitro diagnostics products comprising analytical instruments, reagents, software, and related products for use in clinical and blood bank laboratories. This segment serves blood donation centers, clinical analysis laboratories, and hospital immunohematology services. The Hospital segment manufactures and installs products used by hospitals consisting of parenteral solutions, and enteral and parenteral nutritional fluids. The Raw Materials and Others segment sells intermediate biological products; and renders manufacturing services to third party companies. The company also offers engineering services. Its products and services are used by healthcare providers to diagnose and treat patients with hemophilia, immune deficiencies, infectious diseases, and other medical conditions. The company serves hospitals and clinics, group purchasing organizations, governments, and other distributors through sales representatives, marketing partners, and third-party distributors. Grifols, S.A. was founded in 1940 and is headquartered in Barcelona, Spain.","{'name': 'Mr. Raimon Grifols  Roura', 'title': 'Co-Chief Exec. Officer and Exec. Director', 'pay': 'N/A', 'exercised': 'N/A', 'age': '53'}","{'name': 'Mr. Ram??n Riera Roca', 'title': 'Exec. VP, Pres of Global Commercial Division and Exec. Director', 'pay': '1.07M', 'exercised': 'N/A', 'age': '62'}","{'name': 'Mr. Tom??s Dag?? Gelabert', 'title': 'Vice Sec. and External Director', 'pay': 'N/A', 'exercised': 'N/A', 'age': '61'}","{'name': 'Mr. V??ctor Grifols Deu', 'title': 'Co-Chief Exec. Officer and Exec. Director', 'pay': 'N/A', 'exercised': 'N/A', 'age': '40'}","{'name': 'Mr. Alfredo Arroyo Guerra', 'title': 'Chief Financial Officer and Corp. VP', 'pay': 'N/A', 'exercised': 'N/A', 'age': '59'}"
GTHX,"G1 Therapeutics, Inc.",http://www.g1therapeutics.com,N/A,N/A,N/A,"G1 Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on the discovery and development of novel therapeutics for the treatment of cancer in the United States. It is developing trilaciclib, an intravenous cyclin-dependent kinases (CDK) 4/6 inhibitor that is in Phase Ib/IIa clinical trials for patients with small cell lung cancer, as well as Phase II clinical trial for patients with triple-negative breast cancer; G1T38, an oral CDK4/6 inhibitor that is Phase I/II clinical trial for the treatment of breast cancer; and G1T48, an oral selective estrogen receptor degrader that is in preclinical development stage. The company was founded in 2008 and is headquartered in Research Triangle Park, North Carolina.","{'name': 'Dr. Mark A. Velleca M.D., Ph.D.', 'title': 'Chief Exec. Officer, Pres and Director', 'pay': '546.6k', 'exercised': 'N/A', 'age': '53'}","{'name': 'Dr. Rajesh K. Malik M.D., M.B., Ch.B.', 'title': 'Chief Medical Officer', 'pay': '411.15k', 'exercised': 'N/A', 'age': '58'}","{'name': 'Mr. Barclay A. Phillips', 'title': 'CFO & Sr. VP of Corp. Devel.', 'pay': 'N/A', 'exercised': 'N/A', 'age': '54'}","{'name': 'Mr. Alexander D. Smith M.S.', 'title': 'VP of Technical Operations', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}","{'name': 'Dr. Jay C. Strum Ph.D.', 'title': 'Chief Scientific Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '53'}"
GWPH,GW Pharmaceuticals plc,http://www.gwpharm.com,N/A,N/A,N/A,"GW Pharmaceuticals plc, a biopharmaceutical company, engages in discovering, developing, and commercializing cannabinoid prescription medicines using botanical extracts derived from the Cannabis plant. It operates through three segments: Commercial, Sativex Research and Development, and Pipeline Research and Development. The company markets Sativex, an oromucosal spray for the treatment of spasticity due to multiple sclerosis. It is also developing Sativex in Phase II trials in neuropathic pain. In addition, the companys product pipeline includes Epidiolex, which is in Phase III clinical development for the treatment of dravet syndrome, lennox-gastaut syndrome, tuberous sclerosis complex, and infantile spasms, as well as other product candidates in Phase I and II clinical development for the treatment of glioma, adult epilepsy, and schizophrenia. It primarily operates Europe, the United States, Canada, and Asia. GW Pharmaceuticals plc was founded in 1998 and is based in Cambridge, the United Kingdom.","{'name': 'Dr. Geoffrey W. Guy', 'title': 'Founder & Exec. Chairman', 'pay': 'N/A', 'exercised': 'N/A', 'age': '63'}","{'name': 'Mr. Justin D. Gover', 'title': 'CEO & Exec. Director', 'pay': 'N/A', 'exercised': 'N/A', 'age': '46'}","{'name': 'Mr. Scott M. Giacobello', 'title': 'Chief Financial Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '47'}","{'name': 'Mr. Christopher John Tovey BSc', 'title': 'Chief Operating Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '52'}","{'name': 'Mr. Douglas B. Snyder', 'title': 'Chief Legal Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '53'}"
HALO,"Halozyme Therapeutics, Inc.",http://www.halozyme.com,Healthcare,Biotechnology,259,"Halozyme Therapeutics, Inc., a biotechnology company, researches, develops, and commercializes human enzymes and other drug candidates in the United States, Switzerland, and internationally. The companys human enzymes are used to facilitate the delivery of injected drugs and fluids, enhancing the efficacy and the convenience of other drugs or can be used to alter tissue structures for clinical benefit. Its products are based on the Enhanze technology, a patented recombinant human hyaluronidase enzyme (rHuPH20) that enables the subcutaneous delivery of injectable biologics, such as monoclonal antibodies and other therapeutic molecules, as well as small molecules and fluids. The company offers Hylenex recombinant, a formulation of rHuPH20 to facilitate subcutaneous fluid administration for achieving hydration; to enhance the dispersion and absorption of other injected drugs; in subcutaneous urography; and to enhance resorption of radiopaque agents. It also develops PEGylated recombinant human hyaluronidase for the treatment of pancreatic ductal adenocarcinoma, non-small cell lung cancer, gastric cancer, and metastatic breast cancer. It has collaborations with F. Hoffmann-La Roche, Ltd.; Hoffmann-La Roche, Inc.; Baxalta US Inc.; Baxalta GmbH; Pfizer Inc.; Janssen Biotech, Inc.; AbbVie, Inc.; Eli Lilly and Company; and Genentech. Halozyme Therapeutics, Inc. was founded in 1998 and is headquartered in San Diego, California.","{'name': 'Dr. Helen I. Torley M.B. Ch. B., M.R.C.P.', 'title': 'Pres, CEO & Director', 'pay': '1.25M', 'exercised': 'N/A', 'age': '54'}","{'name': 'Ms. Laurie D. Stelzer', 'title': 'Chief Financial Officer and Sr. VP', 'pay': '650.64k', 'exercised': 'N/A', 'age': '49'}","{'name': 'Mr. Harry J. Leonhardt Esq.', 'title': 'Sr. VP, Gen. Counsel, Chief Compliance Officer & Corp. Sec.', 'pay': '619.76k', 'exercised': 'N/A', 'age': '60'}","{'name': 'Mr. Mark J. Gergen J.D.', 'title': 'Consultant', 'pay': '222.53k', 'exercised': 'N/A', 'age': '54'}","{'name': 'Dr. Michael J. LaBarre Ph.D.', 'title': 'Chief Scientific Officer and VP', 'pay': 'N/A', 'exercised': 'N/A', 'age': '53'}"
HZNP,Horizon Pharma Public Limited Company,http://www.horizonpharma.com,N/A,N/A,N/A,"Horizon Pharma Public Limited Company, a biopharmaceutical company, engages in identifying, developing, acquiring, and commercializing medicines for the treatment of orphan diseases, arthritis, pain, and inflammation and inflammatory diseases in the United States and internationally. The companys marketed medicine portfolio consists of ACTIMMUNE for the treatment of chronic granulomatous disease and malignant osteopetrosis; RAVICTI and BUPHENYL/AMMONAPS to treat urea cycle disorders; PROCYSBI for the treatment of nephropathic cystinosis; QUINSAIR for the treatment of chronic pulmonary infections due to pseudomonas aeruginosa in cystic fibrosis patients; and KRYSTEXXA to treat chronic refractory gout. Its products also include RAYOS/LODOTRA for the treatment of rheumatoid arthritis, polymyalgia rheumatic, systemic lupus erythematosus, and multiple other indications; DUEXIS to treat signs and symptoms of osteoarthritis and rheumatoid arthritis; MIGERGOT for the treatment of vascular headache; PENNSAID 2% to treat pain of osteoarthritis of the knees; and VIMOVO for the treatment of signs and symptoms of osteoarthritis, rheumatoid arthritis, and ankylosing spondylitis. The company has collaboration agreements with Fox Chase Cancer Center to study ACTIMMUNE in combination with PD-1/PD-L1 inhibitors for use in the treatment of various forms of cancer; and Alliance for Lupus Research (ALR) to study the effect of RAYOS on the fatigue experienced by systemic lupus erythematosus (SLE) patients. Horizon Pharma Public Limited Company was founded in 2005 and is headquartered in Dublin, Ireland.","{'name': 'Mr. Timothy P. Walbert', 'title': 'Chairman, Pres & CEO', 'pay': '2.28M', 'exercised': '172.93k', 'age': '50'}","{'name': 'Mr. Paul W. Hoelscher', 'title': 'Exec. VP & CFO', 'pay': '904.01k', 'exercised': 'N/A', 'age': '52'}","{'name': 'Mr. Barry J. Moze', 'title': 'Exec. VP & Chief Admin. Officer', 'pay': '951.55k', 'exercised': 'N/A', 'age': '63'}","{'name': 'Mr. Robert F. Carey', 'title': 'Chief Bus. Officer & Exec. VP', 'pay': '881.09k', 'exercised': 'N/A', 'age': '58'}","{'name': 'Mr. David A. Happel', 'title': 'Exec. VP of Commercial Devel. & Strategy', 'pay': '406.11k', 'exercised': 'N/A', 'age': '55'}"
ICPT,"Intercept Pharmaceuticals, Inc.",http://www.interceptpharma.com,N/A,N/A,N/A,"Intercept Pharmaceuticals, Inc., a biopharmaceutical company, focuses on the development and commercialization of therapeutics to treat non-viral, progressive liver diseases. Its lead product candidate is obeticholic acid (OCA), a bile acid analog, which has a structure based on a naturally occurring human bile acid that selectively binds to and activates the farnesoid X receptor (FXR). The company is developing OCA to treat various non-viral progressive liver diseases, such as nonalcoholic steatohepatitis, primary sclerosing cholangitis, and biliary atresia. It also provides OCA under the Ocaliva brand name for the treatment of primary biliary cholangitis in the United States and Europe. In addition, the company is developing INT-767, an orally administered dual FXR and TGR5 agonist for the treatment of liver fibrosis; and INT-777, an orally administered TGR5 agonist for the treatment of type 2 diabetes, associated metabolic disorders, and other gastrointestinal indications. Intercept Pharmaceuticals, Inc. was founded in 2002 and is headquartered in New York, New York.","{'name': 'Dr. Mark  Pruzanski M.D.', 'title': 'Founder, Chief Exec. Officer, Pres & Director', 'pay': '1.04M', 'exercised': '7.64M', 'age': '49'}","{'name': 'Mr. Sandip S. Kapadia', 'title': 'CFO & Treasurer', 'pay': '282.06k', 'exercised': 'N/A', 'age': '47'}","{'name': 'Dr. David  Shapiro M.D., Ph.D.', 'title': 'Chief Medical Officer', 'pay': '688.88k', 'exercised': '295.76k', 'age': '63'}","{'name': 'Ms. Lisa  Bright B.Sc.', 'title': 'Pres of International', 'pay': '614.81k', 'exercised': 'N/A', 'age': '49'}","{'name': 'Dr. Rachel L. McMinn Ph.D.', 'title': 'Advisor', 'pay': '592.51k', 'exercised': 'N/A', 'age': '44'}"
ILMN,"Illumina, Inc.",http://www.illumina.com,Healthcare,Biotechnology,"5,500","Illumina, Inc. provides sequencing and array-based solutions for genetic analysis. The companys sequencing by synthesis technology provides researchers with various applications and the ability to sequence mammalian genomes. It also offers arrays for a range of deoxyribonucleic acid and RNA analysis applications, including single nucleotide polymorphism genotyping, copy number variations analysis, gene expression analysis, and methylation analysis, as well as allow for the detection of known genetic markers on a single array. In addition, the company provides various library preparation and sequencing kits to simplify workflows and accelerate analysis; and genome sequencing, genotyping, and non-invasive prenatal testing services. It serves genomic research centers, academic institutions, government laboratories, and hospitals, as well as pharmaceutical, biotechnology, agrigenomics, commercial molecular diagnostic laboratories, and consumer genomics companies. The company markets and distributes its products directly to customers in North America, Europe, Latin America, and the Asia-Pacific region, as well as through life-science distributors. It has collaboration agreements with IBM Watson Health to access genome data interpretation by integrating Watson for genomics into Illuminas BaseSpace Sequence Hub and tumor sequencing process; and NRGene to develop new molecular breeding tools for cattle to support global food production. The company also has a co-development agreement with Munich Leukemia Laboratory GmbH and IBM Watson Health to build a cognitive technology prototype to help researchers improve leukemia treatment. Illumina, Inc. was founded in 1998 and is headquartered in San Diego, California.","{'name': 'Mr. Jay T. Flatley', 'title': 'Exec. Chairman', 'pay': '991.87k', 'exercised': '20.45M', 'age': '64'}","{'name': 'Mr. Francis A. deSouza', 'title': 'CEO, Pres & Director', 'pay': '908.66k', 'exercised': 'N/A', 'age': '46'}","{'name': 'Mr. Omead  Ostadan', 'title': 'Exec. VP of Operations, Products and Strategy', 'pay': '539.95k', 'exercised': 'N/A', 'age': '45'}","{'name': 'Dr. Mostafa  Ronaghi Ph.D.', 'title': 'Chief Technology Officer and Sr. VP', 'pay': '451.24k', 'exercised': 'N/A', 'age': '48'}","{'name': 'Mr. Marc A. Stapley', 'title': 'Chief Admin. Officer and Exec. VP', 'pay': '556.47k', 'exercised': 'N/A', 'age': '47'}"
IMGN,"ImmunoGen, Inc.",http://www.immunogen.com,Healthcare,Biotechnology,308,"ImmunoGen, Inc., a clinical-stage biotechnology company, develops targeted anticancer therapeutics. The company develops its products using its antibody-drug conjugate (ADC) technology. The companys product candidates include mirvetuximab soravtansine, an ADC targeting folate-receptor alpha for the treatment of platinum-resistant ovarian cancer; IMGN529, an ADC that is in Phase 1b/2 clinical trials for B-cell malignancies; coltuximab ravtansine, which is in Phase 2 trials for B-cell malignancies; IMGN779 that is in Phase 1 clinical trials for the treatment of acute myeloid leukemia (AML); and IMGN632, a preclinical CD123-targeting ADC for the treatment of hematological malignancies, including AML. ImmunoGen, Inc. has collaborations with Roche; Bayer HealthCare AG; Sanofi; Biotest AG; Novartis Institutes for BioMedical Research, Inc.; Eli Lilly and Company; Amgen; Takeda Pharmaceutical Company Limited; Merck; and CytomX Therapeutics, Inc. ImmunoGen, Inc. was founded in 1981 and is headquartered in Waltham, Massachusetts.","{'name': 'Mr. Mark J. Enyedy', 'title': 'Chief Exec. Officer, Pres and Director', 'pay': '568.98k', 'exercised': 'N/A', 'age': '53'}","{'name': 'Mr. David B. Johnston', 'title': 'Chief Financial Officer and Exec. VP', 'pay': '279.44k', 'exercised': 'N/A', 'age': '62'}","{'name': 'Dr. Richard J. Gregory Ph.D.', 'title': 'Chief Scientific Officer and Exec. VP', 'pay': '312.48k', 'exercised': 'N/A', 'age': '59'}","{'name': 'Dr. Anna  Berkenblit M.D., MM.Sc', 'title': 'Chief Medical Officer and VP', 'pay': '269.23k', 'exercised': 'N/A', 'age': '47'}","{'name': 'Ms. Carol  Hausner', 'title': 'Exec. Director of Investor Relations & Corp. Communications', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}"
IMMU,"Immunomedics, Inc.",http://www.immunomedics.com,Healthcare,Biotechnology,138,"Immunomedics, Inc., a clinical-stage biopharmaceutical company, focuses on the development of monoclonal antibody-based products for the targeted treatment of cancer, autoimmune disorders, and other diseases. The company engages in developing antibody-drug conjugate (ADC) products comprising IMMU-132, an ADC that contains SN-38, which is in Phase II trials used for the treatment of patients with metastatic triple-negative breast cancer, and small-cell and non-small-cell lung cancers; IMMU-130, an anti-CEACAN5-SN-38 ADC that is in Phase II trials for the treatment of solid tumors and metastatic colorectal cancer; and IMMU-140 that targets HLA-DR for the potential treatment of liquid cancers. It also develops products for the treatment of cancer and autoimmune diseases, including epratuzumab, anti-CD22 antibody; veltuzumab, anti-CD20 antibody; milatuzumab, anti-CD74 antibody; and IMMU-114, a humanized anti-HLA-DR antibody. The company also provides LeukoScan, a diagnostic imaging product to determine the location and extent of infection/inflammation in bone. In addition, it offers other product candidates for the treatment of solid tumors and hematologic malignancies, as well as other diseases, which are in various stages of clinical and pre-clinical development. The company has a research collaboration with The Bayer Group to study epratuzumab as a thorium-227-labeled antibody. Immunomedics, Inc. was founded in 1982 and is headquartered in Morris Plains, New Jersey.","{'name': 'Dr. David M. Goldenberg', 'title': 'Founder, Chief Patent Officer, Chief Scientific Officer & Director', 'pay': '779.44k', 'exercised': '1.21M', 'age': '79'}","{'name': 'Mr. Michael R. Garone', 'title': 'CFO, Principal Accounting Officer & VP of Fin.', 'pay': '4.62k', 'exercised': 'N/A', 'age': '58'}","{'name': 'Mr. Michael F. Pehl', 'title': 'Pres, CEO & Director', 'pay': 'N/A', 'exercised': 'N/A', 'age': '52'}","{'name': 'Ms. Phyllis  Parker', 'title': 'Director of Admin.', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}","{'name': 'Dr. Chau  Cheng', 'title': 'Sr. Director of Investor Relations & Corp. Sec.', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}"
INCR,"INC Research Holdings, Inc.",http://www.incresearch.com,N/A,N/A,N/A,"INC Research Holdings, Inc., a contract research organization, provides various clinical development services for the biopharmaceutical and medical device industries in North America, Europe, the Middle East and Africa, the Asia-Pacific, and Latin America. The company offers a range of services focusing on Phase I to Phase IV clinical trials in central nervous system, oncology, and other complex therapeutic areas. Its services include clinical trial management services comprising patient recruitment and retention, project management, clinical monitoring, drug safety/pharmacovigilance, medical affairs, quality assurance, and regulatory and medical writing; and data services consisting of clinical data management, electronic data capture, and biostatistics. The companys services also comprise strategic and regulatory services, including strategic development services, regulatory consulting and submissions, clinical operations optimization, and pricing and reimbursement planning; and real world and late stage services, such as specialized support for patient registries, safety surveillance studies, prospective observational studies, health outcome research, patient reported outcomes, Phase IV effectiveness trials, and health economics studies and retrospective chart reviews. In addition, it offers functional services, such as data management, medical writing, safety/pharmacovigilance, site contracts, and investigator payments. INC Research Holdings, Inc. was incorporated in 2010 and is headquartered in Raleigh, North Carolina.","{'name': 'Mr. Alistair  MacDonald', 'title': 'CEO & Director', 'pay': '1.35M', 'exercised': '524.52k', 'age': '48'}","{'name': 'Mr. Gregory S. Rush', 'title': 'Chief Financial Officer', 'pay': '894.46k', 'exercised': '1.84M', 'age': '51'}","{'name': 'Mr. Christopher L. Gaenzle', 'title': 'Chief Admin. Officer, Gen. Counsel & Sec.', 'pay': '821.83k', 'exercised': '861.66k', 'age': '51'}","{'name': 'Dr. Michael  Gibertini Ph.D.', 'title': 'Pres of Clinical Devel. for Therapeutic Bus. Units', 'pay': 'N/A', 'exercised': 'N/A', 'age': '60'}","{'name': 'Dr. Judith  Ng-Cashin M.D.', 'title': 'Chief Scientific Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}"
